State,Honey producing colonies,Yield per colony,Production,Stocks December 15,Average price per pound,Value of production,Year
IL,8,61,488,146,1.17,571,2000
IN,8,65,520,286,1.03,536,2000
IA,30,67,2010,1206,0.67,1347,2000
KS,15,68,1020,520,0.91,928,2000
KY,3,48,144,40,1.35,194,2000
LA,43,94,4042,1334,0.52,2102,2000
ME,11,21,231,143,0.75,173,2000
MD,6,46,276,52,1.14,315,2000
MI,72,75,5400,2970,0.6,3240,2000
MN,150,90,13500,3105,0.57,7695,2000
MS,17,72,1224,649,0.69,845,2000
MO,23,75,1725,362,0.6,1035,2000
MT,148,86,12728,5982,0.59,7510,2000
NE,50,87,4350,2610,0.59,2567,2000
NV,10,35,350,95,1.45,508,2000
NJ,11,35,385,200,0.61,235,2000
NM,15,64,960,739,0.72,691,2000
NY,58,80,4640,2274,0.55,2552,2000
NC,11,49,539,243,1.43,771,2000
ND,290,115,33350,13340,0.56,18676,2000
OH,18,65,1170,585,0.79,924,2000
OK,7,35,245,64,1.26,309,2000
OR,48,51,2448,1665,0.66,1616,2000
PA,22,45,990,554,0.76,752,2000
SD,235,121,28435,12796,0.57,16208,2000
TN,9,61,549,104,1.43,785,2000
TX,105,79,8295,2986,0.57,4728,2000
UT,24,41,984,462,0.6,590,2000
VT,7,59,413,211,0.68,281,2000
VA,7,42,294,103,1.5,441,2000
WA,52,54,2808,1151,0.58,1629,2000
WV,7,54,378,234,1.22,461,2000
WI,84,90,7560,4385,0.68,5141,2000
WY,39,93,3627,798,0.59,2140,2000
US,2634,83.9,221005,86158,0.594,132205,2000
AL,14,73,1022,235,0.71,726,2001
AZ,43,59,2537,1142,0.78,1979,2001
AR,58,98,5655,1872,0.66,3732,2001
CA,425,65,27625,7735,0.67,18509,2001
CO,26,55,1430,529,0.7,1001,2001
FL,220,100,22000,3432,0.62,13640,2001
GA,55,57,3135,188,0.7,2195,2001
HI,8,87,696,84,0.85,592,2001
ID,100,46,4600,1610,0.66,3036,2001
IL,6,76,456,251,1.72,784,2001
IN,8,76,608,213,0.86,523,2001
IA,33,51,1683,875,0.73,1229,2001
KS,13,51,663,530,0.85,564,2001
KY,3,78,234,94,1.31,307,2001
LA,45,106,4770,572,0.6,2862,2001
ME,11,20,220,106,0.7,154,2001
MD,4,46,184,55,1.72,316,2001
MI,76,60,4560,2827,0.78,3557,2001
MN,135,81,10935,1859,0.63,6889,2001
MS,17,66,1122,224,0.6,673,2001
MO,25,61,1525,381,0.68,1037,2001
MT,136,102,13872,4578,0.65,9017,2001
NE,43,48,2064,1115,0.66,1362,2001
NV,11,50,550,44,2.01,1106,2001
NJ,11,34,374,71,0.82,307,2001
NM,15,70,1050,525,0.65,683,2001
NY,53,70,3710,1781,0.68,2523,2001
NC,11,44,484,145,1.58,765,2001
ND,280,96,26880,9408,0.65,17472,2001
OH,16,81,1296,505,0.85,1102,2001
OK,4,47,188,105,1.41,265,2001
OR,44,44,1936,1200,0.69,1336,2001
PA,17,57,969,514,0.87,843,2001
SD,235,65,15275,12220,0.64,9776,2001
TN,9,59,531,147,1.37,727,2001
TX,97,79,7663,1533,0.64,4904,2001
UT,23,38,874,315,0.65,568,2001
VT,7,81,567,249,0.91,516,2001
VA,9,52,468,94,1.17,548,2001
WA,42,52,2184,917,0.67,1463,2001
WV,7,65,455,410,1.55,705,2001
WI,67,81,5427,3419,0.76,4125,2001
WY,38,77,2926,468,0.63,1843,2001
Other,13,40,523,173,1.53,799,2001
US,2513,74.0,185926,64750,0.669,127060,2001
AL,12,86,1032,103,1.11,1146,2002
AZ,38,63,2394,1197,1.1,2633,2002
AR,55,88,4840,1065,1.24,6002,2002
CA,440,53,23320,3498,1.29,30083,2002
CO,24,60,1440,576,1.22,1757,2002
FL,220,93,20460,2026,1.12,22915,2002
GA,50,52,2600,52,1.1,2860,2002
HI,7,136,952,29,1.1,1047,2002
ID,100,57,5700,1653,1.35,7695,2002
IL,9,80,720,130,1.42,1022,2002
IN,8,62,496,233,1.14,565,2002
IA,33,70,2310,901,1.37,3165,2002
KS,17,52,884,407,1.56,1379,2002
